Cas592	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	99.62517	97.60883	99.39461	97.27258	1141.75476	5620.55566	283.33176	0.00000	1.00000	623.30756	6178.31104	4546	1	-1	1	0	0
1	99.45554	97.44704	99.27254	97.16408	1127.63892	8508.86426	344.87869	0.00000	1.00000	492.67578	8687.10742	4647	1	-1	1	0	0
1	99.50999	97.64040	99.29548	97.29766	1151.60107	5108.34814	268.85138	0.00000	1.00000	676.98444	5776.38916	4748	1	-1	1	0	0
1	99.69946	97.65095	99.36790	97.30138	1326.43396	5753.97314	265.87668	0.00000	1.00000	591.16986	6479.75537	4849	1	-1	1	0	0
1	99.73113	97.45983	99.42513	97.17547	1021.72131	6162.70898	315.66495	0.00000	1.00000	570.98926	6763.27051	4950	1	-1	1	0	0
1	99.36830	97.57678	99.21718	97.29951	1069.91406	4945.67578	274.28683	0.00000	1.00000	624.96448	5495.88818	5051	1	-1	1	0	0
1	99.45158	97.50181	99.29190	97.14487	1035.16321	5269.72217	288.61383	0.00000	1.00000	601.60474	5790.88281	5152	1	-1	1	0	0
1	99.68506	97.86214	99.44702	97.37563	1048.99329	5921.30029	303.38177	0.00000	1.00000	598.32758	6219.81055	5253	1	-1	1	0	0
1	99.43874	97.72489	99.23029	97.14225	1166.70935	7736.12158	336.13724	0.00000	1.00000	554.41455	8134.63818	5354	1	-1	1	0	0
1	99.58738	98.03236	99.38343	97.44070	1000.32275	6736.35547	344.21613	0.00000	1.00000	607.70038	6986.49072	5455	1	-1	1	0	0
1	99.51402	97.57558	99.28754	97.10729	1000.65540	4563.20410	271.53622	0.00000	1.00000	608.75092	5002.22998	5556	1	-1	1	0	0
1	99.60549	97.69974	99.41637	97.37238	1268.23425	4358.05811	236.54286	0.00000	1.00000	667.50958	4999.26025	5657	1	-1	1	0	0
1	99.33937	97.33475	99.15340	97.09692	1166.52405	6498.05811	298.86252	0.00000	1.00000	549.83325	6707.16699	5758	1	-1	1	0	0
1	99.78155	97.59489	99.45576	97.31229	967.60425	5170.62305	295.27359	0.00000	1.00000	609.87634	5696.08936	5859	1	-1	1	0	0
1	99.71247	97.61387	99.34959	97.24656	1113.92969	5570.44482	285.38132	0.00000	1.00000	657.75891	6046.02734	5960	1	-1	1	0	0
1	99.55511	97.65506	99.27357	97.28268	948.02393	5667.09521	312.13443	0.00000	1.00000	611.47125	5995.21875	6061	1	-1	1	0	0
1	99.61786	97.57148	99.39130	97.27693	905.37207	6742.48486	366.90222	0.00000	1.00000	603.40851	6999.78711	6162	1	-1	1	0	0
1	99.42474	97.38408	99.26189	97.12820	1121.58362	5049.48486	273.82825	0.00000	1.00000	654.90552	5631.36230	6263	1	-1	1	0	0
1	99.49871	97.69772	99.32467	97.34345	988.41522	5249.98828	294.12360	0.00000	1.00000	593.27338	5422.16650	6364	1	-1	1	0	0
1	99.58897	97.64410	99.34676	97.22633	1304.94409	5792.88330	268.80139	0.00000	1.00000	624.06934	6517.26465	6465	1	-1	1	0	0
1	99.60569	97.69378	99.37956	97.30192	1068.65662	5261.15576	283.37088	0.00000	1.00000	628.71014	5871.24854	6566	1	-1	1	0	0
1	99.22135	97.38696	99.21851	97.15434	1196.35632	7104.01221	311.09665	0.00000	1.00000	567.63507	7493.12500	6768	1	-1	1	0	0
1	99.47332	97.62858	99.31181	97.30439	1118.72937	9578.52148	368.98697	0.00000	1.00000	501.92126	9676.96875	6869	1	-1	1	0	0
1	99.79767	97.66091	99.46540	97.26962	888.56885	5265.29004	366.19434	0.00000	1.00000	650.82806	5431.29834	6970	1	-1	1	0	0
1	99.56905	97.62164	99.24036	97.20981	1347.61523	4607.57373	236.05220	0.00000	1.00000	720.02020	5301.49707	7071	1	-1	1	0	0
1	99.69466	97.75336	99.40681	97.30701	1451.49902	7873.72168	305.01599	0.00000	1.00000	539.69824	8654.54590	7172	1	-1	1	0	0
1	99.50242	97.66285	99.29213	97.22307	1179.49048	3151.86108	199.71970	0.00000	1.00000	691.87158	3942.21045	7273	1	-1	1	0	0
1	99.45389	97.68821	99.31090	97.24174	1203.93323	6006.61475	285.03760	0.00000	1.00000	594.21057	6817.73584	7374	1	-1	1	0	0
1	99.47536	97.75557	99.29993	97.30598	1024.00427	4433.57813	267.01346	0.00000	1.00000	669.54346	4742.41357	7475	1	-1	1	0	0
1	99.61299	97.60361	99.35038	97.17405	1160.81726	5072.56250	267.46216	0.00000	1.00000	667.75012	5386.24707	7576	1	-1	1	0	0
1	99.66328	97.76629	99.36010	97.33967	1112.27771	5175.38135	275.46167	0.00000	1.00000	648.57745	5759.56543	7677	1	-1	1	0	0
1	99.58479	97.57412	99.30347	97.16679	1033.23120	5156.09375	285.37842	0.00000	1.00000	653.44086	6297.97656	7778	1	-1	1	0	0
1	99.60603	97.72540	99.32241	97.28779	1363.65259	3601.90112	207.36745	0.00000	1.00000	736.03149	4121.21484	7879	1	-1	1	0	0
